,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak,Sun_alt,Sun_az,Sun_dist,Moon_alt,Moon_az,Moon illum,Moon_dist,Mercury_alt,Mercury_az,Mercury_dist,Mercury_illum,Venus_alt,Venus_az,Venus_dist,Venus_illum,Mars_alt,Mars_az,Mars_dist,Mars_illum,Jupiter_alt,Jupiter_az,Jupiter_dist,Jupiter_illum,Saturn_alt,Saturn_az,Saturn_dist,Saturn_illum,Uranus_alt,Uranus_az,Uranus_dist,Uranus_illum,Neptune_alt,Neptune_az,Neptune_dist,Neptune_illum,Deimos_alt,Deimos_az,Deimos_dist,Deimos_illum,Phobos_alt,Phobos_az,Phobos_dist,Phobos_illum,Ganymede_alt,Ganymede_az,Ganymede_dist,Ganymede_illum,Titan_alt,Titan_az,Titan_dist,Titan_illum,Pluto_alt,Pluto_az,pluto_dist,Pluto_illum
Seizures,1,-0.014197057,0.03241558,-0.022398274,0.042643756,0.016182304,-0.005423355,-0.07254198,0.000241942,0.061901875,-0.002151482,0.051541029,-0.034544077,-0.004853867,0.044496438,-0.015079981,0.001295769,-0.014645572,-0.041441503,-0.04256749,-0.045815177,0.048381545,0.029563406,0.024601869,-0.031076439,-0.002023356,-0.048972065,0.023020611,-0.052594179,0.023442913,-0.043133384,-0.005022925,-0.045253666,-0.060636565,-0.055655405,-0.049149033,0.039393348,-0.029618026,0.007022731,0.026564375,0.005625298,-0.017549447,-0.02908531,0.042855028,0.005625298,-0.017549447,-0.02908531,0.042855028,0.005625298,-0.017549447,-0.02908531,0.042855028,0.005625298,-0.017549447,-0.02908531,0.042855028,0.005625298,-0.017549447,-0.02908531,0.042855028,0.005625298,-0.017549447,-0.02908531,0.042855028
Sleeping Pills,-0.014197057,1,0.025468548,-0.008980421,0.027909609,0.029890254,0.061219694,-0.028587112,0.021039841,-0.006460117,-0.043439321,0.008246508,-0.032367831,-0.009004455,0.031917534,-0.017119184,0.007021281,0.003598982,0.05003101,0.05339191,-0.022232972,-0.054535269,-0.039109581,-0.032483086,0.003488225,-0.033566017,-0.025101352,-0.008386917,-0.033537204,-0.021227438,-0.037797647,-0.028292411,-0.004707026,-0.003380565,-0.018096916,-0.006703259,0.023575581,-0.001401003,0.017905188,-0.032344498,0.01427071,-0.01721858,0.00679661,0.041885705,0.01427071,-0.01721858,0.00679661,0.041885705,0.01427071,-0.01721858,0.00679661,0.041885705,0.01427071,-0.01721858,0.00679661,0.041885705,0.01427071,-0.01721858,0.00679661,0.041885705,0.01427071,-0.01721858,0.00679661,0.041885705
Chocolate,0.03241558,0.025468548,1,-0.04096373,-0.024098191,-0.049916538,-0.016398522,0.050433524,0.007696556,0.068559571,0.009986848,0.129600889,-0.031040131,-0.023224426,0.038781487,-0.050721568,0.020241035,0.000382094,-0.050030646,-0.05410055,0.031580969,0.023759887,-0.01272725,-0.02175891,-0.05479514,0.021967146,-0.054255221,-0.001392194,-0.108083656,0.077835111,-0.050423718,0.021036002,-0.138945608,-0.00154941,-0.124627489,-0.005472813,0.077413517,-0.134953206,-0.024476946,-0.027481998,-0.028942919,-0.104604018,-0.115487915,-0.018227392,-0.028942919,-0.104604018,-0.115487915,-0.018227392,-0.028942919,-0.104604018,-0.115487915,-0.018227392,-0.028942919,-0.104604018,-0.115487915,-0.018227392,-0.028942919,-0.104604018,-0.115487915,-0.018227392,-0.028942919,-0.104604018,-0.115487915,-0.018227392
Mood Swings,-0.022398274,-0.008980421,-0.04096373,1,0.03224803,0.023863988,0.016410459,0.014386027,0.025311934,0.008752559,0.013993716,0.010275624,-0.004229395,0.002589299,-0.0055411,-0.016638887,-0.024841865,-0.02099467,0.035894277,0.033272517,0.02538126,-0.047654426,0.01879908,0.02686064,0.020101454,0.003337587,0.002364265,0.053252077,-0.057883331,0.007962689,-0.033087087,0.013750639,-0.057082485,0.039778297,-0.028194584,0.036525457,-0.010622118,-0.044929433,-0.049779262,-0.036756009,-0.047464933,-0.038605821,-0.05435398,0.011854038,-0.047464933,-0.038605821,-0.05435398,0.011854038,-0.047464933,-0.038605821,-0.05435398,0.011854038,-0.047464933,-0.038605821,-0.05435398,0.011854038,-0.047464933,-0.038605821,-0.05435398,0.011854038,-0.047464933,-0.038605821,-0.05435398,0.011854038
Anxiety,0.042643756,0.027909609,-0.024098191,0.03224803,1,0.054282391,0.00310962,0.007505981,0.013730031,0.014573584,-0.017375697,0.087253549,-0.030907534,-0.011483098,0.029570689,0.013969473,-0.042273029,-0.051930361,-0.028547759,-0.026347799,0.010553546,0.016048249,-0.028403779,-0.04287958,-0.060438093,-0.008658033,-0.058955624,-0.002119547,-0.096485354,-0.023634828,-0.11294598,-0.050980666,-0.07787938,-0.03612498,-0.102892422,0.00735526,0.075043893,-0.055026762,0.006431182,-0.044281204,0.013056216,-0.103769037,-0.054027078,-0.029915568,0.013056216,-0.103769037,-0.054027078,-0.029915568,0.013056216,-0.103769037,-0.054027078,-0.029915568,0.013056216,-0.103769037,-0.054027078,-0.029915568,0.013056216,-0.103769037,-0.054027078,-0.029915568,0.013056216,-0.103769037,-0.054027078,-0.029915568
Depression,0.016182304,0.029890254,-0.049916538,0.023863988,0.054282391,1,0.011775813,0.016235624,0.007814059,0.088891033,0.046100456,0.059392199,0.019377849,-0.028806109,-0.002223709,0.051054585,0.023060534,0.007681012,-0.044625593,-0.042096979,0.016491266,0.034093348,0.05330281,0.044186047,0.055151711,-0.001307813,0.01703617,0.011222404,-0.023537319,0.020758158,-0.022425007,0.066539377,-0.031941439,-0.049019224,-0.044380976,-0.043137733,0.037968858,-0.023595786,0.005187844,0.06344482,0.00346868,-0.032212543,-0.03626236,0.007431994,0.00346868,-0.032212543,-0.03626236,0.007431994,0.00346868,-0.032212543,-0.03626236,0.007431994,0.00346868,-0.032212543,-0.03626236,0.007431994,0.00346868,-0.032212543,-0.03626236,0.007431994,0.00346868,-0.032212543,-0.03626236,0.007431994
Sad songs,-0.005423355,0.061219694,-0.016398522,0.016410459,0.00310962,0.011775813,1,0.003851644,0.014269149,0.047221747,-0.006096892,0.03736493,-0.008738585,-0.005619088,0.01379786,-0.054539873,-0.005276341,-0.018388178,-0.027223322,-0.022557302,0.001216802,-0.002269014,-0.029525291,-0.029848459,0.022253137,-0.005566706,0.010110254,0.032409061,-0.03818137,0.003309132,-0.018433318,-0.027395759,-0.032058867,-0.038090208,-0.038987207,-0.047186361,0.032987431,-0.002677292,0.019141134,0.021178562,0.013013855,-0.027077809,-0.013234287,0.038757269,0.013013855,-0.027077809,-0.013234287,0.038757269,0.013013855,-0.027077809,-0.013234287,0.038757269,0.013013855,-0.027077809,-0.013234287,0.038757269,0.013013855,-0.027077809,-0.013234287,0.038757269,0.013013855,-0.027077809,-0.013234287,0.038757269
Lonely,-0.07254198,-0.028587112,0.050433524,0.014386027,0.007505981,0.016235624,0.003851644,1,-0.005022478,-0.023951748,-0.031088117,-0.051858214,0.006242184,-0.012374267,0.014619866,0.044512383,-0.005727161,-0.004217686,-0.010023677,-0.005656059,-0.005468542,0.014810016,-0.021807103,-0.020474962,0.049534298,0.005932958,0.058939816,0.022888716,0.011508736,-0.04256945,-0.023749684,-0.009431166,0.075800445,-0.012277293,0.039216293,-0.013069832,-0.001424497,0.07612376,0.055855589,0.023232488,0.056540241,0.051881616,0.086219048,0.025402038,0.056540241,0.051881616,0.086219048,0.025402038,0.056540241,0.051881616,0.086219048,0.025402038,0.056540241,0.051881616,0.086219048,0.025402038,0.056540241,0.051881616,0.086219048,0.025402038,0.056540241,0.051881616,0.086219048,0.025402038
Heartbreak,0.000241942,0.021039841,0.007696556,0.025311934,0.013730031,0.007814059,0.014269149,-0.005022478,1,-0.006753704,-0.053099023,0.011434069,0.031435705,0.005810004,-0.015787239,-0.022505346,-0.010701945,-0.013575042,-0.027168615,-0.022975864,0.009032269,0.039840651,0.044265312,0.042468818,-0.017995076,0.01808141,0.003167364,0.003548962,0.020031403,-0.004248257,0.015060516,-0.025798454,0.03812252,-0.026132648,0.004873869,-0.01247479,0.038022667,0.033561935,0.060880711,0.000518172,0.070633092,0.039605333,0.057551958,0.020898371,0.070633092,0.039605333,0.057551958,0.020898371,0.070633092,0.039605333,0.057551958,0.020898371,0.070633092,0.039605333,0.057551958,0.020898371,0.070633092,0.039605333,0.057551958,0.020898371,0.070633092,0.039605333,0.057551958,0.020898371
Sun_alt,0.061901875,-0.006460117,0.068559571,0.008752559,0.014573584,0.088891033,0.047221747,-0.023951748,-0.006753704,1,0.522984945,0.612352883,-0.013612144,-0.003631396,0.024111324,0.004230928,0.112353808,-0.053615824,-0.083627324,-0.06039058,0.161368677,0.142691551,-0.015346234,-0.063436178,-0.01047365,0.20861846,-0.018175792,0.180323367,-0.38750972,0.084300418,-0.230686504,-0.087039032,-0.532779677,-0.406533828,-0.546002872,-0.676596098,0.358084837,-0.129431581,-0.047672818,0.627627598,-0.094005975,-0.412349546,-0.494745996,0.234880755,-0.094005975,-0.412349546,-0.494745996,0.234880755,-0.094005975,-0.412349546,-0.494745996,0.234880755,-0.094005975,-0.412349546,-0.494745996,0.234880755,-0.094005975,-0.412349546,-0.494745996,0.234880755,-0.094005975,-0.412349546,-0.494745996,0.234880755
Sun_az,-0.002151482,-0.043439321,0.009986848,0.013993716,-0.017375697,0.046100456,-0.006096892,-0.031088117,-0.053099023,0.522984945,1,-0.017270168,-0.01382851,0.005059481,0.012202544,0.003939079,-0.023486251,-0.018968232,0.091197573,0.067441135,0.148730256,0.143637818,0.021394109,-0.008778513,-0.100387194,0.216948701,-0.081316243,0.062201887,0.01888279,0.373680545,0.283486865,0.157876387,-0.2968735,0.218710561,0.054418651,-0.272189264,-0.348533516,-0.128437819,-0.570793331,0.657754957,-0.574018949,-0.262314514,-0.507158291,-0.373550367,-0.574018949,-0.262314514,-0.507158291,-0.373550367,-0.574018949,-0.262314514,-0.507158291,-0.373550367,-0.574018949,-0.262314514,-0.507158291,-0.373550367,-0.574018949,-0.262314514,-0.507158291,-0.373550367,-0.574018949,-0.262314514,-0.507158291,-0.373550367
Sun_dist,0.051541029,0.008246508,0.129600889,0.010275624,0.087253549,0.059392199,0.03736493,-0.051858214,0.011434069,0.612352883,-0.017270168,1,-0.008790533,-0.016110947,0.025047261,0.003410853,0.01814072,-0.148907897,-0.230595819,-0.178466355,0.125667097,-0.096834252,-0.040357671,-0.065943764,0.078890514,0.119635678,0.070278975,0.286132239,-0.706383825,-0.12648251,-0.630471438,-0.137088473,-0.711517122,-0.526302585,-0.960879784,-0.123481998,0.833005462,-0.408068788,0.302911308,-0.046558201,0.251777747,-0.753081769,-0.466826379,-0.060923615,0.251777747,-0.753081769,-0.466826379,-0.060923615,0.251777747,-0.753081769,-0.466826379,-0.060923615,0.251777747,-0.753081769,-0.466826379,-0.060923615,0.251777747,-0.753081769,-0.466826379,-0.060923615,0.251777747,-0.753081769,-0.466826379,-0.060923615
Moon_alt,-0.034544077,-0.032367831,-0.031040131,-0.004229395,-0.030907534,0.019377849,-0.008738585,0.006242184,0.031435705,-0.013612144,-0.01382851,-0.008790533,1,-0.000600589,-0.738549401,-0.228285199,0.009959001,0.009656917,-0.002061116,-0.001906841,-0.011873255,-0.035960451,-4.94E-05,-0.000757561,0.01033637,-0.014258657,0.002626838,-0.027219525,0.029422284,-0.048061936,-0.00804528,-0.005308177,0.039280462,-0.015615278,0.014806611,0.0014138,0.007899516,0.041084258,0.029226916,0.006742816,0.028691427,0.006917194,0.034437031,-0.006860216,0.028691427,0.006917194,0.034437031,-0.006860216,0.028691427,0.006917194,0.034437031,-0.006860216,0.028691427,0.006917194,0.034437031,-0.006860216,0.028691427,0.006917194,0.034437031,-0.006860216,0.028691427,0.006917194,0.034437031,-0.006860216
Moon_az,-0.004853867,-0.009004455,-0.023224426,0.002589299,-0.011483098,-0.028806109,-0.005619088,-0.012374267,0.005810004,-0.003631396,0.005059481,-0.016110947,-0.000600589,1,-0.519500112,0.006952988,-0.003432322,-0.00231785,0.004008799,0.002023396,-0.001346117,0.000414174,0.01188164,0.010460806,-0.002364999,-0.028435309,-0.00557604,-0.024232188,0.046084348,0.001864047,0.040571218,-0.005061355,0.022851819,0.006597751,0.029956658,-0.015210282,-0.018985737,0.022770261,-0.006676516,0.010969974,-0.004747996,0.027896539,0.009180472,0.006718398,-0.004747996,0.027896539,0.009180472,0.006718398,-0.004747996,0.027896539,0.009180472,0.006718398,-0.004747996,0.027896539,0.009180472,0.006718398,-0.004747996,0.027896539,0.009180472,0.006718398,-0.004747996,0.027896539,0.009180472,0.006718398
Moon illum,0.044496438,0.031917534,0.038781487,-0.0055411,0.029570689,-0.002223709,0.01379786,0.014619866,-0.015787239,0.024111324,0.012202544,0.025047261,-0.738549401,-0.519500112,1,0.127429094,-0.006722756,-0.009337682,-0.00228558,-0.00046696,0.014456302,0.033020915,-0.00830582,-0.007641638,-0.003966252,0.03076327,0.001099287,0.040191054,-0.059672338,0.024325964,-0.027845764,0.00182408,-0.05026154,-0.002307737,-0.039026525,0.000963207,0.013079161,-0.037769753,-0.01518372,-0.005594702,-0.01596508,-0.022476742,-0.035649095,0.003380694,-0.01596508,-0.022476742,-0.035649095,0.003380694,-0.01596508,-0.022476742,-0.035649095,0.003380694,-0.01596508,-0.022476742,-0.035649095,0.003380694,-0.01596508,-0.022476742,-0.035649095,0.003380694,-0.01596508,-0.022476742,-0.035649095,0.003380694
Moon_dist,-0.015079981,-0.017119184,-0.050721568,-0.016638887,0.013969473,0.051054585,-0.054539873,0.044512383,-0.022505346,0.004230928,0.003939079,0.003410853,-0.228285199,0.006952988,0.127429094,1,-0.00491858,-0.004890687,-0.000746044,-0.005641944,0.000306005,0.003751212,0.002499182,0.003440231,-0.005813385,-0.009816702,-0.002034625,0.007673369,-0.007346644,0.010290199,0.00489435,-0.003854364,-0.013922259,0.006617435,-0.00442529,-0.001129934,-0.003402435,-0.016333431,-0.010458475,-0.004576443,-0.009725107,0.009470942,-0.012332437,0.004043479,-0.009725107,0.009470942,-0.012332437,0.004043479,-0.009725107,0.009470942,-0.012332437,0.004043479,-0.009725107,0.009470942,-0.012332437,0.004043479,-0.009725107,0.009470942,-0.012332437,0.004043479,-0.009725107,0.009470942,-0.012332437,0.004043479
Mercury_alt,0.001295769,0.007021281,0.020241035,-0.024841865,-0.042273029,0.023060534,-0.005276341,-0.005727161,-0.010701945,0.112353808,-0.023486251,0.01814072,0.009959001,-0.003432322,-0.006722756,-0.00491858,1,0.973658153,-0.056469993,-0.050306628,0.019279997,-0.094382542,-0.009453383,0.025527331,0.026619068,0.006231464,0.03342324,-0.049030196,-0.015175285,-0.105688581,-0.104849869,0.014542889,0.134166685,-0.170088824,-0.020217981,-0.114099214,0.119046586,0.211089084,0.194804413,0.180179941,0.210273233,0.048334935,0.169403205,0.063091769,0.210273233,0.048334935,0.169403205,0.063091769,0.210273233,0.048334935,0.169403205,0.063091769,0.210273233,0.048334935,0.169403205,0.063091769,0.210273233,0.048334935,0.169403205,0.063091769,0.210273233,0.048334935,0.169403205,0.063091769
Mercury_az,-0.014645572,0.003598982,0.000382094,-0.02099467,-0.051930361,0.007681012,-0.018388178,-0.004217686,-0.013575042,-0.053615824,-0.018968232,-0.148907897,0.009656917,-0.00231785,-0.009337682,-0.004890687,0.973658153,1,-0.001080895,-0.002263684,-0.005220932,-0.111214499,-0.006697711,0.033902196,0.016084073,-0.010481153,0.027092817,-0.084077674,0.09604908,-0.077398427,-0.001821772,0.035436098,0.230179266,-0.038753091,0.134135101,-0.011330672,-0.033687511,0.224538148,0.113593464,0.117440927,0.138017431,0.139257285,0.217481723,-0.003075036,0.138017431,0.139257285,0.217481723,-0.003075036,0.138017431,0.139257285,0.217481723,-0.003075036,0.138017431,0.139257285,0.217481723,-0.003075036,0.138017431,0.139257285,0.217481723,-0.003075036,0.138017431,0.139257285,0.217481723,-0.003075036
Mercury_dist,-0.041441503,0.05003101,-0.050030646,0.035894277,-0.028547759,-0.044625593,-0.027223322,-0.010023677,-0.027168615,-0.083627324,0.091197573,-0.230595819,-0.002061116,0.004008799,-0.00228558,-0.000746044,-0.056469993,-0.001080895,1,0.986715777,-0.094783154,-0.192277354,0.005675946,0.019351173,-0.005051964,0.029043827,-0.000950161,-0.050963569,0.133303657,0.092773521,0.159193942,0.054602932,0.07073408,0.135579728,0.208874924,0.064909631,-0.251200418,0.022399458,-0.194689033,0.004422808,-0.185541222,0.102492109,-0.01054969,0.029530235,-0.185541222,0.102492109,-0.01054969,0.029530235,-0.185541222,0.102492109,-0.01054969,0.029530235,-0.185541222,0.102492109,-0.01054969,0.029530235,-0.185541222,0.102492109,-0.01054969,0.029530235,-0.185541222,0.102492109,-0.01054969,0.029530235
Mercury_illum,-0.04256749,0.05339191,-0.05410055,0.033272517,-0.026347799,-0.042096979,-0.022557302,-0.005656059,-0.022975864,-0.06039058,0.067441135,-0.178466355,-0.001906841,0.002023396,-0.00046696,-0.005641944,-0.050306628,-0.002263684,0.986715777,1,-0.089885032,-0.195352851,0.001896248,0.013626954,0.005435212,0.023286186,0.005208478,-0.043852954,0.099541325,0.061767165,0.110181033,0.036583855,0.06371728,0.08360427,0.158836105,0.054884954,-0.182640054,0.034948987,-0.133487863,0.008928493,-0.125940342,0.071576816,0.007824407,0.023544413,-0.125940342,0.071576816,0.007824407,0.023544413,-0.125940342,0.071576816,0.007824407,0.023544413,-0.125940342,0.071576816,0.007824407,0.023544413,-0.125940342,0.071576816,0.007824407,0.023544413,-0.125940342,0.071576816,0.007824407,0.023544413
