,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak,Sun_alt,Sun_az,Sun_dist,Moon_alt,Moon_az,Moon illum,Moon_dist,Mercury_alt,Mercury_az,Mercury_dist,Mercury_illum,Venus_alt,Venus_az,Venus_dist,Venus_illum,Mars_alt,Mars_az,Mars_dist,Mars_illum,Jupiter_alt,Jupiter_az,Jupiter_dist,Jupiter_illum,Saturn_alt,Saturn_az,Saturn_dist,Saturn_illum,Uranus_alt,Uranus_az,Uranus_dist,Uranus_illum,Neptune_alt,Neptune_az,Neptune_dist,Neptune_illum,Deimos_alt,Deimos_az,Deimos_dist,Deimos_illum,Phobos_alt,Phobos_az,Phobos_dist,Phobos_illum,Ganymede_alt,Ganymede_az,Ganymede_dist,Ganymede_illum,Titan_alt,Titan_az,Titan_dist,Titan_illum,Pluto_alt,Pluto_az,pluto_dist,Pluto_illum
Venus_alt,-0.045815177,-0.022232972,0.031580969,0.02538126,0.010553546,0.016491266,0.001216802,-0.005468542,0.009032269,0.161368677,0.148730256,0.125667097,-0.011873255,-0.001346117,0.014456302,0.000306005,0.019279997,-0.005220932,-0.094783154,-0.089885032,1,-0.229472561,0.002589931,-0.024054422,-0.023545844,0.255183851,0.127291066,0.200433105,-0.268040593,0.155162292,-0.087321117,0.08714295,-0.217331272,-0.026027336,-0.173176208,-0.035012965,0.08156385,-0.080948286,-0.042046358,0.105424238,-0.037322459,-0.139806567,-0.128125871,-0.079303823,-0.037322459,-0.139806567,-0.128125871,-0.079303823,-0.037322459,-0.139806567,-0.128125871,-0.079303823,-0.037322459,-0.139806567,-0.128125871,-0.079303823,-0.037322459,-0.139806567,-0.128125871,-0.079303823,-0.037322459,-0.139806567,-0.128125871,-0.079303823
Venus_az,0.048381545,-0.054535269,0.023759887,-0.047654426,0.016048249,0.034093348,-0.002269014,0.014810016,0.039840651,0.142691551,0.143637818,-0.096834252,-0.035960451,0.000414174,0.033020915,0.003751212,-0.094382542,-0.111214499,-0.192277354,-0.195352851,-0.229472561,1,0.363115253,0.269772276,0.046148123,0.034309785,0.102190561,0.092160311,0.19019148,-0.008458217,0.089350107,0.052236816,0.162747718,-0.089276028,0.143093698,-0.35433032,-0.091838068,0.159713001,-0.021511012,0.327933911,-0.015616174,0.121857096,0.069608947,0.089035097,-0.015616174,0.121857096,0.069608947,0.089035097,-0.015616174,0.121857096,0.069608947,0.089035097,-0.015616174,0.121857096,0.069608947,0.089035097,-0.015616174,0.121857096,0.069608947,0.089035097,-0.015616174,0.121857096,0.069608947,0.089035097
Venus_dist,0.029563406,-0.039109581,-0.01272725,0.01879908,-0.028403779,0.05330281,-0.029525291,-0.021807103,0.044265312,-0.015346234,0.021394109,-0.040357671,-4.94E-05,0.01188164,-0.00830582,0.002499182,-0.009453383,-0.006697711,0.005675946,0.001896248,0.002589931,0.363115253,1,0.979099604,0.223586884,0.160422633,0.332827369,0.298422873,0.159133512,0.10292612,0.156614943,-0.001691443,0.021627352,0.114601964,0.097377017,-0.006966281,-0.09602843,-0.028235096,-0.114781668,-0.018724374,-0.084746084,0.028568105,-0.045722733,0.027962637,-0.084746084,0.028568105,-0.045722733,0.027962637,-0.084746084,0.028568105,-0.045722733,0.027962637,-0.084746084,0.028568105,-0.045722733,0.027962637,-0.084746084,0.028568105,-0.045722733,0.027962637,-0.084746084,0.028568105,-0.045722733,0.027962637
Venus_illum,0.024601869,-0.032483086,-0.02175891,0.02686064,-0.04287958,0.044186047,-0.029848459,-0.020474962,0.042468818,-0.063436178,-0.008778513,-0.065943764,-0.000757561,0.010460806,-0.007641638,0.003440231,0.025527331,0.033902196,0.019351173,0.013626954,-0.024054422,0.269772276,0.979099604,1,0.19987151,0.150418907,0.307407119,0.316400254,0.166111424,0.098626443,0.179741063,-0.050370553,0.016517909,0.156386472,0.118310648,0.053853469,-0.126814918,-0.055036144,-0.13977221,-0.088606258,-0.107463321,0.044312727,-0.051949703,0.039236434,-0.107463321,0.044312727,-0.051949703,0.039236434,-0.107463321,0.044312727,-0.051949703,0.039236434,-0.107463321,0.044312727,-0.051949703,0.039236434,-0.107463321,0.044312727,-0.051949703,0.039236434,-0.107463321,0.044312727,-0.051949703,0.039236434
Mars_alt,-0.031076439,0.003488225,-0.05479514,0.020101454,-0.060438093,0.055151711,0.022253137,0.049534298,-0.017995076,-0.01047365,-0.100387194,0.078890514,0.01033637,-0.002364999,-0.003966252,-0.005813385,0.026619068,0.016084073,-0.005051964,0.005435212,-0.023545844,0.046148123,0.223586884,0.19987151,1,-0.072084842,0.679539559,0.352933998,-0.017060202,-0.161986203,-0.136920273,0.034734436,0.070279117,-0.142519283,-0.078885415,0.072098275,0.165622701,0.070533027,0.208204349,-0.019650091,0.191057929,-0.033992435,0.120849749,-0.047032238,0.191057929,-0.033992435,0.120849749,-0.047032238,0.191057929,-0.033992435,0.120849749,-0.047032238,0.191057929,-0.033992435,0.120849749,-0.047032238,0.191057929,-0.033992435,0.120849749,-0.047032238,0.191057929,-0.033992435,0.120849749,-0.047032238
Mars_az,-0.002023356,-0.033566017,0.021967146,0.003337587,-0.008658033,-0.001307813,-0.005566706,0.005932958,0.01808141,0.20861846,0.216948701,0.119635678,-0.014258657,-0.028435309,0.03076327,-0.009816702,0.006231464,-0.010481153,0.029043827,0.023286186,0.255183851,0.034309785,0.160422633,0.150418907,-0.072084842,1,0.555187219,0.468004242,-0.082696292,0.190420589,0.108100161,0.051712261,-0.234671087,0.037866185,-0.101309165,-0.110582824,-0.041168489,-0.180618484,-0.195264387,0.099248063,-0.215269722,-0.131500059,-0.27341158,-0.000646822,-0.215269722,-0.131500059,-0.27341158,-0.000646822,-0.215269722,-0.131500059,-0.27341158,-0.000646822,-0.215269722,-0.131500059,-0.27341158,-0.000646822,-0.215269722,-0.131500059,-0.27341158,-0.000646822,-0.215269722,-0.131500059,-0.27341158,-0.000646822
Mars_dist,-0.048972065,-0.025101352,-0.054255221,0.002364265,-0.058955624,0.01703617,0.010110254,0.058939816,0.003167364,-0.018175792,-0.081316243,0.070278975,0.002626838,-0.00557604,0.001099287,-0.002034625,0.03342324,0.027092817,-0.000950161,0.005208478,0.127291066,0.102190561,0.332827369,0.307407119,0.679539559,0.555187219,1,0.626464172,0.024265012,-0.094306441,-0.048240549,-0.010367789,0.044873523,-0.097955599,-0.063633488,0.052934106,0.123725628,0.036014687,0.150024965,-0.030806344,0.135685534,-0.035030803,0.076774578,-0.046680799,0.135685534,-0.035030803,0.076774578,-0.046680799,0.135685534,-0.035030803,0.076774578,-0.046680799,0.135685534,-0.035030803,0.076774578,-0.046680799,0.135685534,-0.035030803,0.076774578,-0.046680799,0.135685534,-0.035030803,0.076774578,-0.046680799
Mars_illum,0.023020611,-0.008386917,-0.001392194,0.053252077,-0.002119547,0.011222404,0.032409061,0.022888716,0.003548962,0.180323367,0.062201887,0.286132239,-0.027219525,-0.024232188,0.040191054,0.007673369,-0.049030196,-0.084077674,-0.050963569,-0.043852954,0.200433105,0.092160311,0.298422873,0.316400254,0.352933998,0.468004242,0.626464172,1,-0.445764378,0.077031346,-0.205522164,-0.255786388,-0.43008098,-0.081107179,-0.369511228,-0.00430245,0.174752138,-0.279820839,-0.074304605,-0.097617925,-0.093573223,-0.250228182,-0.297475999,-0.005899218,-0.093573223,-0.250228182,-0.297475999,-0.005899218,-0.093573223,-0.250228182,-0.297475999,-0.005899218,-0.093573223,-0.250228182,-0.297475999,-0.005899218,-0.093573223,-0.250228182,-0.297475999,-0.005899218,-0.093573223,-0.250228182,-0.297475999,-0.005899218
Jupiter_alt,-0.052594179,-0.033537204,-0.108083656,-0.057883331,-0.096485354,-0.023537319,-0.03818137,0.011508736,0.020031403,-0.38750972,0.01888279,-0.706383825,0.029422284,0.046084348,-0.059672338,-0.007346644,-0.015175285,0.09604908,0.133303657,0.099541325,-0.268040593,0.19019148,0.159133512,0.166111424,-0.017060202,-0.082696292,0.024265012,-0.445764378,1,0.028539495,0.725760731,0.047100466,0.721197152,0.385129974,0.853524832,-0.032447938,-0.61448363,0.389120683,-0.175977028,0.125696135,-0.128857316,0.583445516,0.397305305,0.082631729,-0.128857316,0.583445516,0.397305305,0.082631729,-0.128857316,0.583445516,0.397305305,0.082631729,-0.128857316,0.583445516,0.397305305,0.082631729,-0.128857316,0.583445516,0.397305305,0.082631729,-0.128857316,0.583445516,0.397305305,0.082631729
Jupiter_az,0.023442913,-0.021227438,0.077835111,0.007962689,-0.023634828,0.020758158,0.003309132,-0.04256945,-0.004248257,0.084300418,0.373680545,-0.12648251,-0.048061936,0.001864047,0.024325964,0.010290199,-0.105688581,-0.077398427,0.092773521,0.061767165,0.155162292,-0.008458217,0.10292612,0.098626443,-0.161986203,0.190420589,-0.094306441,0.077031346,0.028539495,1,0.542392656,0.455712424,-0.342076776,0.515465542,0.168645514,0.08640114,-0.444819902,-0.348613474,-0.639782774,0.001880228,-0.619659884,-0.050531465,-0.473564725,-0.017622214,-0.619659884,-0.050531465,-0.473564725,-0.017622214,-0.619659884,-0.050531465,-0.473564725,-0.017622214,-0.619659884,-0.050531465,-0.473564725,-0.017622214,-0.619659884,-0.050531465,-0.473564725,-0.017622214,-0.619659884,-0.050531465,-0.473564725,-0.017622214
Jupiter_dist,-0.043133384,-0.037797647,-0.050423718,-0.033087087,-0.11294598,-0.022425007,-0.018433318,-0.023749684,0.015060516,-0.230686504,0.283486865,-0.630471438,-0.00804528,0.040571218,-0.027845764,0.00489435,-0.104849869,-0.001821772,0.159193942,0.110181033,-0.087321117,0.089350107,0.156614943,0.179741063,-0.136920273,0.108100161,-0.048240549,-0.205522164,0.725760731,0.542392656,1,0.167656823,0.244096766,0.679690579,0.768065133,-0.01403712,-0.810979583,0.009456957,-0.62607185,0.064439583,-0.589040974,0.414430825,-0.081417219,0.105669777,-0.589040974,0.414430825,-0.081417219,0.105669777,-0.589040974,0.414430825,-0.081417219,0.105669777,-0.589040974,0.414430825,-0.081417219,0.105669777,-0.589040974,0.414430825,-0.081417219,0.105669777,-0.589040974,0.414430825,-0.081417219,0.105669777
Jupiter_illum,-0.005022925,-0.028292411,0.021036002,0.013750639,-0.050980666,0.066539377,-0.027395759,-0.009431166,-0.025798454,-0.087039032,0.157876387,-0.137088473,-0.005308177,-0.005061355,0.00182408,-0.003854364,0.014542889,0.035436098,0.054602932,0.036583855,0.08714295,0.052236816,-0.001691443,-0.050370553,0.034734436,0.051712261,-0.010367789,-0.255786388,0.047100466,0.455712424,0.167656823,1,0.027196065,0.275474841,0.144757112,0.303137988,-0.189898594,-0.038671296,-0.166221639,0.03966092,-0.156970755,-0.010703393,-0.048146289,-0.238535929,-0.156970755,-0.010703393,-0.048146289,-0.238535929,-0.156970755,-0.010703393,-0.048146289,-0.238535929,-0.156970755,-0.010703393,-0.048146289,-0.238535929,-0.156970755,-0.010703393,-0.048146289,-0.238535929,-0.156970755,-0.010703393,-0.048146289,-0.238535929
Saturn_alt,-0.045253666,-0.004707026,-0.138945608,-0.057082485,-0.07787938,-0.031941439,-0.032058867,0.075800445,0.03812252,-0.532779677,-0.2968735,-0.711517122,0.039280462,0.022851819,-0.05026154,-0.013922259,0.134166685,0.230179266,0.07073408,0.06371728,-0.217331272,0.162747718,0.021627352,0.016517909,0.070279117,-0.234671087,0.044873523,-0.43008098,0.721197152,-0.342076776,0.244096766,0.027196065,1,0.010080906,0.732110187,0.014697605,-0.266599563,0.748971581,0.38559164,0.174273605,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512
Saturn_az,-0.060636565,-0.003380565,-0.00154941,0.039778297,-0.03612498,-0.049019224,-0.038090208,-0.012277293,-0.026132648,-0.406533828,0.218710561,-0.526302585,-0.015615278,0.006597751,-0.002307737,0.006617435,-0.170088824,-0.038753091,0.135579728,0.08360427,-0.026027336,-0.089276028,0.114601964,0.156386472,-0.142519283,0.037866185,-0.097955599,-0.081107179,0.385129974,0.515465542,0.679690579,0.275474841,0.010080906,1,0.547144772,0.408808751,-0.73560058,-0.234316686,-0.704173938,-0.290020133,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414
Saturn_dist,-0.055655405,-0.018096916,-0.124627489,-0.028194584,-0.102892422,-0.044380976,-0.038987207,0.039216293,0.004873869,-0.546002872,0.054418651,-0.960879784,0.014806611,0.029956658,-0.039026525,-0.00442529,-0.020217981,0.134135101,0.208874924,0.158836105,-0.173176208,0.143093698,0.097377017,0.118310648,-0.078885415,-0.101309165,-0.063633488,-0.369511228,0.853524832,0.168645514,0.768065133,0.144757112,0.732110187,0.547144772,1,0.066297893,-0.836684969,0.40829561,-0.318663345,0.094289386,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086
Saturn_illum,-0.049149033,-0.006703259,-0.005472813,0.036525457,0.00735526,-0.043137733,-0.047186361,-0.013069832,-0.01247479,-0.676596098,-0.272189264,-0.123481998,0.0014138,-0.015210282,0.000963207,-0.001129934,-0.114099214,-0.011330672,0.064909631,0.054884954,-0.035012965,-0.35433032,-0.006966281,0.053853469,0.072098275,-0.110582824,0.052934106,-0.00430245,-0.032447938,0.08640114,-0.01403712,0.303137988,0.014697605,0.408808751,0.066297893,1,-0.0891219,-0.300670531,-0.050385965,-0.714915117,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629
Uranus_alt,0.039393348,0.023575581,0.077413517,-0.010622118,0.075043893,0.037968858,0.032987431,-0.001424497,0.038022667,0.358084837,-0.348533516,0.833005462,0.007899516,-0.018985737,0.013079161,-0.003402435,0.119046586,-0.033687511,-0.251200418,-0.182640054,0.08156385,-0.091838068,-0.09602843,-0.126814918,0.165622701,-0.041168489,0.123725628,0.174752138,-0.61448363,-0.444819902,-0.810979583,-0.189898594,-0.266599563,-0.73560058,-0.836684969,-0.0891219,1,0.004356232,0.764867427,-0.025041548,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174
Uranus_az,-0.029618026,-0.001401003,-0.134953206,-0.044929433,-0.055026762,-0.023595786,-0.002677292,0.07612376,0.033561935,-0.129431581,-0.128437819,-0.408068788,0.041084258,0.022770261,-0.037769753,-0.016333431,0.211089084,0.224538148,0.022399458,0.034948987,-0.080948286,0.159713001,-0.028235096,-0.055036144,0.070533027,-0.180618484,0.036014687,-0.279820839,0.389120683,-0.348613474,0.009456957,-0.038671296,0.748971581,-0.234316686,0.40829561,-0.300670531,0.004356232,1,0.503057085,0.443957177,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721
Uranus_dist,0.007022731,0.017905188,-0.024476946,-0.049779262,0.006431182,0.005187844,0.019141134,0.055855589,0.060880711,-0.047672818,-0.570793331,0.302911308,0.029226916,-0.006676516,-0.01518372,-0.010458475,0.194804413,0.113593464,-0.194689033,-0.133487863,-0.042046358,-0.021511012,-0.114781668,-0.13977221,0.208204349,-0.195264387,0.150024965,-0.074304605,-0.175977028,-0.639782774,-0.62607185,-0.166221639,0.38559164,-0.704173938,-0.318663345,-0.050385965,0.764867427,0.503057085,1,0.048202207,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295
Uranus_illum,0.026564375,-0.032344498,-0.027481998,-0.036756009,-0.044281204,0.06344482,0.021178562,0.023232488,0.000518172,0.627627598,0.657754957,-0.046558201,0.006742816,0.010969974,-0.005594702,-0.004576443,0.180179941,0.117440927,0.004422808,0.008928493,0.105424238,0.327933911,-0.018724374,-0.088606258,-0.019650091,0.099248063,-0.030806344,-0.097617925,0.125696135,0.001880228,0.064439583,0.03966092,0.174273605,-0.290020133,0.094289386,-0.714915117,-0.025041548,0.443957177,0.048202207,1,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039
Neptune_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
